
6295662. Done: 13.0, Runtime: 34.2556381226
6299656. Done: 13.0, Runtime: 0.0348663330078
6299660. Done: 13.0, Runtime: 0.751091003418
6307659. Done: 13.0, Runtime: 16.7634277344
6307671. Done: 13.0, Runtime: 16.7303314209
6308060. Done: 13.0, Runtime: 15.4367446899
6308067. Done: 13.0, Runtime: 18.6076431274
6309059. Done: 13.0, Runtime: 35.2576904297
6309070. Done: 13.0, Runtime: 24.9927139282
6309266. Done: 13.0, Runtime: 0.0329055786133
6309273. Done: 13.0, Runtime: 0.917594909668
6309502. Done: 13.0, Runtime: 63.2301635742
6309514. Done: 13.0, Runtime: 51.5578842163
6309572. Done: 13.0, Runtime: 30.9975814819
6309584. Done: 13.0, Runtime: 39.8597793579
6309647. Done: 13.0, Runtime: 27.0542449951
6309655. Done: 13.0, Runtime: 24.0926208496
6313522. Done: 13.0, Runtime: 25.5218963623
6338473. Done: 13.0, Runtime: 59.7682800293
6338475. Done: 13.0, Runtime: 58.4421081543
6339762. Done: 13.0, Runtime: 31.3622131348
6339888. Done: 14.0, Runtime: 1.66053009033
6340011. Done: 14.0, Runtime: 3.50831604004
6340033. Done: 14.0, Runtime: 3.57740020752
6342276. Done: 14.0, Runtime: 17.5149688721
6342288. Done: 14.0, Runtime: 22.7070083618
6342300. Done: 14.0, Runtime: 56.5994949341
6342545. Done: 14.0, Runtime: 46.6099700928
6343721. Done: 14.0, Runtime: 78.8732757568
6343898. Done: 14.0, Runtime: 26.8829803467
6344067. Done: 14.0, Runtime: 2.51402282715
6344534. Done: 14.0, Runtime: 46.0668411255
6344629. Done: 14.0, Runtime: 28.0610046387
6345446. Done: 14.0, Runtime: 27.8120574951
6347594. Done: 14.0, Runtime: 40.0656127930
6347825. Done: 14.0, Runtime: 32.0888214111
6599072. Done: 14.0, Runtime: 2.03802490234
6599074. Done: 14.0, Runtime: 1.14888763428
6599077. Done: 14.0, Runtime: 1.90690612793
6599078. Done: 14.0, Runtime: 1.90007781982
6599079. Done: 14.0, Runtime: 0.974296569824
6599080. Done: 14.0, Runtime: 1.93612670898
6599081. Done: 14.0, Runtime: 1.98780059814
6599094. Done: 14.0, Runtime: 12.7484436035
6599104. Done: 14.0, Runtime: 12.1262664795
6599105. Done: 14.0, Runtime: 12.6829605103
6599106. Done: 14.0, Runtime: 2.90399932861
6599107. Done: 14.0, Runtime: 20.0788497925
6599108. Done: 14.0, Runtime: 4.20944213867
6599109. Done: 14.0, Runtime: 24.7215728760
6599110. Done: 14.0, Runtime: 12.5334396362
6599111. Done: 14.0, Runtime: 13.5428771973
6599112. Done: 14.0, Runtime: 21.6941680908
6599113. Done: 14.0, Runtime: 14.4373397827
6599114. Done: 14.0, Runtime: 34.4099960327
6599119. Done: 15.0, Runtime: 2.43824005127
6599120. Done: 15.0, Runtime: 2.41631317139
6599121. Done: 15.0, Runtime: 2.25995635986
6599122. Done: 15.0, Runtime: 1.10346221924
6599123. Done: 15.0, Runtime: 1.95404052734
6599124. Done: 15.0, Runtime: 2.05324554443
6599139. Done: 15.0, Runtime: 14.2212371826
6599140. Done: 15.0, Runtime: 3.41404724121
6599150. Done: 15.0, Runtime: 15.6445617676
6599151. Done: 15.0, Runtime: 1.83863067627
6599152. Done: 15.0, Runtime: 12.7014770508
6599153. Done: 15.0, Runtime: 25.3996658325
6599154. Done: 15.0, Runtime: 20.234375
6599155. Done: 15.0, Runtime: 26.6889266968
6599156. Done: 15.0, Runtime: 15.6276931763
6599157. Done: 15.0, Runtime: 28.1339340210
6599158. Done: 15.0, Runtime: 32.4297485352
6599159. Done: 15.0, Runtime: 34.8666229248
6648510. Done: 15.0, Runtime: 2.59751892090
6648511. Done: 15.0, Runtime: 2.33447265625
6648512. Done: 15.0, Runtime: 2.56071472168
6650342. Done: 15.0, Runtime: 34.3601531982
6668088. Done: 15.0, Runtime: 2.16883087158
6668090. Done: 15.0, Runtime: 2.69139099121
6668094. Done: 15.0, Runtime: 3.74977111816
6668095. Done: 15.0, Runtime: 3.71089172363
6668096. Done: 15.0, Runtime: 31.8971710205
6668097. Done: 15.0, Runtime: 51.4065093994
6668102. Done: 15.0, Runtime: 43.6275939941
6668103. Done: 15.0, Runtime: 39.1889266968
6668129. Done: 15.0, Runtime: 3.27188873291
6668130. Done: 15.0, Runtime: 0.0339202880859
6668131. Done: 15.0, Runtime: 33.8060989380
6668132. Done: 15.0, Runtime: 28.4773178101
6668137. Done: 16.0, Runtime: 0.904235839844
6668150. Done: 16.0, Runtime: 2.95728302002
6668151. Done: 16.0, Runtime: 1.84939575195
6668156. Done: 16.0, Runtime: 2.89643859863
6668161. Done: 16.0, Runtime: 27.5273361206
6668163. Done: 16.0, Runtime: 39.3245697021
6668164. Done: 16.0, Runtime: 28.1356353760
6668165. Done: 16.0, Runtime: 25.9343719482
6668166. Done: 16.0, Runtime: 32.5222930908
6668169. Done: 16.0, Runtime: 43.7872390747
6668170. Done: 16.0, Runtime: 32.3487091064
6668171. Done: 16.0, Runtime: 71.5534439087
6668172. Done: 16.0, Runtime: 61.7151107788
6668173. Done: 16.0, Runtime: 75.3913879395
6668174. Done: 16.0, Runtime: 59.5427703857
6668175. Done: 16.0, Runtime: 48.1169662476
6668176. Done: 16.0, Runtime: 35.6244812012
6668299. Done: 16.0, Runtime: 2.65627288818
6668303. Done: 16.0, Runtime: 4.15139007568
6668305. Done: 16.0, Runtime: 2.40714263916
6668306. Done: 16.0, Runtime: 3.38792419434
6668374. Done: 16.0, Runtime: 1.18608856201
6668393. Done: 16.0, Runtime: 4.02026367188
6668394. Done: 16.0, Runtime: 2.62622833252
6668396. Done: 16.0, Runtime: 3.57927703857
6668397. Done: 16.0, Runtime: 2.06153106689
6668412. Done: 16.0, Runtime: 4.03964233398
6668413. Done: 16.0, Runtime: 3.51970672607
6668414. Done: 16.0, Runtime: 4.39281463623
6668431. Done: 16.0, Runtime: 2.46929931641
